ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10364666,HY556542,12/31/2015 08:30:00 PM,003XX W 80TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,623,6,17,44,08B,1175228,1851893,2015,01/07/2016 16:14,41.74897172,-87.63347054,"(41.748971716, -87.633470544)"
10365183,HZ100811,12/31/2015 08:30:00 PM,007XX N NOBLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1215,12,27,24,14,1166930,1904886,2015,01/07/2016 16:14,41.8945713,-87.66236111,"(41.894571298, -87.662361105)"
10364594,HY556532,12/31/2015 08:23:00 PM,023XX W CERMAK RD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESTAURANT,false,false,1034,10,25,31,26,1161087,1889344,2015,01/07/2016 16:14,41.852046,-87.68425238,"(41.852045995, -87.684252376)"
10364641,HY556564,12/31/2015 08:23:00 PM,120XX S HALSTED ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,true,false,523,5,34,53,15,1173167,1824951,2015,01/07/2016 16:14,41.67508469,-87.64181568,"(41.675084692, -87.641815679)"
10364563,HY556527,12/31/2015 08:15:00 PM,080XX S YATES BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,414,4,7,46,08B,1193589,1852015,2015,01/07/2016 16:14,41.74887697,-87.56618593,"(41.748876971, -87.566185932)"
10364624,HY556538,12/31/2015 08:15:00 PM,073XX S MICHIGAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,323,3,6,69,08B,1178430,1856444,2015,01/07/2016 16:14,41.76138811,-87.62159932,"(41.761388108, -87.621599317)"
10365723,HZ101513,12/31/2015 08:15:00 PM,026XX S WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1033,10,12,30,14,1156450,1886434,2015,01/07/2016 16:14,41.84415555,-87.70135009,"(41.844155545, -87.701350092)"
10364650,HY556523,12/31/2015 08:13:00 PM,062XX S DR MARTIN LUTHER KING JR DR,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,true,false,311,3,20,40,04B,1179990,1863780,2015,01/07/2016 16:14,41.78148328,-87.61565747,"(41.781483281, -87.615657469)"
10364658,HY556576,12/31/2015 08:13:00 PM,063XX S STATE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,312,3,20,69,18,1177344,1863145,2015,01/07/2016 16:14,41.77980097,-87.62537741,"(41.779800967, -87.625377411)"
10364828,HZ100242,12/31/2015 08:00:00 PM,055XX N LAKEWOOD AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2013,20,48,77,5,1166637,1936878,2015,01/07/2016 16:14,41.98236522,-87.66251777,"(41.982365216, -87.662517774)"
10366740,HZ102841,12/31/2015 08:00:00 PM,009XX W ADDISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1923,19,44,6,14,1169188,1924102,2015,01/07/2016 16:14,41.94725226,-87.65350869,"(41.947252263, -87.65350869)"
10365643,HZ101401,12/31/2015 08:00:00 PM,017XX N WOOD ST,810,THEFT,OVER $500,STREET,false,false,1433,14,32,24,6,1164078,1911700,2015,01/07/2016 16:14,41.91333013,-87.6726429,"(41.913330126, -87.6726429)"
10365863,HZ101733,12/31/2015 08:00:00 PM,013XX W CRYSTAL ST,820,THEFT,$500 AND UNDER,STREET,false,false,1433,14,32,24,6,1167016,1908484,2015,01/07/2016 16:14,41.90444261,-87.66194184,"(41.904442607, -87.661941839)"
10365173,HZ100797,12/31/2015 08:00:00 PM,010XX S CICERO AVE,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1533,15,24,25,3,1144541,1895203,2015,01/07/2016 16:14,41.868451,-87.74483389,"(41.868451003, -87.744833889)"
10365000,HZ100388,12/31/2015 08:00:00 PM,037XX S LANGLEY AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,212,2,4,36,5,1181314,1880148,2015,01/07/2016 16:14,41.82636801,-87.61029862,"(41.826368014, -87.610298621)"
10366716,HZ102838,12/31/2015 08:00:00 PM,036XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1923,19,44,6,14,1168308,1924180,2015,01/07/2016 16:14,41.94748541,-87.65674105,"(41.947485405, -87.656741053)"
10364956,HZ100318,12/31/2015 08:00:00 PM,029XX S STATE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,133,1,3,35,5,1176760,1885391,2015,01/07/2016 16:14,41.84085918,-87.62684797,"(41.840859176, -87.626847966)"
10364949,HZ100424,12/31/2015 08:00:00 PM,058XX S MARYLAND AVE,820,THEFT,$500 AND UNDER,STREET,false,false,235,2,5,41,6,1182884,1866570,2015,01/07/2016 16:14,41.78907252,-87.60496086,"(41.789072518, -87.60496086)"
10364654,HY556547,12/31/2015 08:00:00 PM,018XX S ST LOUIS AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,true,true,1021,10,24,29,20,1153327,1890818,2015,01/07/2016 16:14,41.85624825,-87.71269474,"(41.856248253, -87.712694737)"
